Codebuch VfB,,
Wert,Definition,Kommentar
nodelist,,Die IDs der Nodelist stimmen mit den IDs der Edgelist überein. Bis auf ID und Name sind die Ausprägungen der Attribute numerisch kodiert.
id,ID des Knotens,"eindeutige Identifikation des Knotens, keine Sonderzeichen"
name,Name,voller Name des Knotens
type,"0: person, 1: organisation",Unterscheidung zwischen Personen und Organisationen
sex,"1: male, 2: female, 3: divers","Geschlecht, dichotome Ausprägung"
age,"0: ≤ 40, 1: > 40 ≤ 50, 2: > 50 ≤ 60, 3: > 60 ≤ 70",Alter
function,"1: Vorstandsmitglied, 2: Aufsichtsratmitglied",Funktion innerhalb der Organisation VfB Stuttgart 1893 AG
position,"1: Vorsitz, 2: Stellvertreter, 3: Mitglied",Position innerhalb der VfB Organisation (Vorstand/Aufsichtsrat)
represantation,"1: Sport, 2: Wirtschaft, 3: Vereinskultur, 4: Fankultur, 5: Finanzen, 6: Kommunikation",Funktion innerhalb der VfB Gremien
power,"0: wenig einflussreich, 1: mittelmäßig einflussreich, 2: sehr einflussreich",Einfluss
NA,-,fehlende Werte
,,
edgelist,,Die Edgelist enthält pro Spalte immer nur einen Wert. Bis auf die IDs ist die Edgelist numerisch kodiert.
from,von,Definiert den Sender. Entspricht ID in der Nodelist. 
to,zu,Definiert den Empfänger. Entspricht ID in der Nodelist. 
relation,"1: Mitglied in/Angestellter von, 2: im Vorstand von, 3: im Aufsichtsrat von, 4: im Präsidium von, 5: Gründer von, 6: Botschafter von, 7: Sponsor von",Art der Beziehung
weight,"0: geringe Gewichtigkeit, 1: mittelmäßige Gewichtigkeit, 2: hohe Gewichtigkeit",Beziehungsstärke
