from,to,relation,weight
ThoHit,VfBAG,2,2
ThoHit,DAFK,1,0
ThoHit,BMH,6,0
ThoHit,DFB,6,0
TobKel,VfBAG,2,1
OliSch,VfBAG,2,1
OliSch,DFL,1,1
WilPor,VfBAG,3,1
WilPor,Daimler,2,2
WilPor,HMSS,2,2
WilPor,SWM,2,2
FraRei,VfBAG,3,1
FraRei,Daimler,2,2
ClaVog,VfBAG,3,2
ClaVog,VfBeV,4,2
ClaVog,FCPF,5,2
ClaVog,Intesia,5,2
RaiAdr,VfBAG,3,1
RaiAdr,VfBeV,4,2
RaiAdr,Elfhilft,1,2
HarJen,VfBAG,3,1
HarJen,AKKG,2,2
HarJen,AKF,2,2
BerSug,VfBAG,3,1
BerSug,Bosch,1,1
BerSug,FCG,5,2
Daimler,VfBeV,7,2
AKKG,VfBeV,7,0
AKKG,AKF,7,2
Intesia,FCPF,7,2
VfBeV,DFL,1,1
FCG,VfBeV,1,0
Bosch,HMSS,7,1
Daimler,HMSS,7,1
SWM,HMSS,7,1
